Date,Open,Close,High,Low,Volume
2014-08-19 00:00:00,24905.0,25107.0,25177.0,24857.0,55504
2014-08-20 00:00:00,25103.0,25113.0,25189.0,25054.0,36078
2014-08-21 00:00:00,25115.0,24995.0,25174.0,24905.0,52375
2014-08-22 00:00:00,24997.0,25103.0,25158.0,24990.0,39201
2014-08-25 00:00:00,25098.0,25179.0,25260.0,24914.0,47478
2014-08-26 00:00:00,25189.0,25083.0,25207.0,25066.0,36223
2014-08-27 00:00:00,25083.0,24932.0,25182.0,24859.0,43760
2014-08-28 00:00:00,24936.0,24894.0,25056.0,24881.0,8125
2014-08-29 00:00:00,24657.0,24683.0,24758.0,24542.0,44114
2014-09-01 00:00:00,24684.0,24697.0,24851.0,24591.0,38840
2014-09-02 00:00:00,24690.0,24692.0,24773.0,24525.0,50526
2014-09-03 00:00:00,24695.0,25315.0,25332.0,24635.0,72206
2014-09-04 00:00:00,25303.0,25197.0,25359.0,25163.0,51645
2014-09-05 00:00:00,25188.0,25161.0,25350.0,25109.0,42591
2014-09-08 00:00:00,25156.0,25145.0,25240.0,24994.0,32880
2014-09-10 00:00:00,25144.0,24630.0,25161.0,24601.0,60669
2014-09-11 00:00:00,24640.0,24648.0,24739.0,24556.0,44817
2014-09-12 00:00:00,24637.0,24561.0,24686.0,24444.0,42420
2014-09-15 00:00:00,24561.0,24409.0,24577.0,24280.0,47238
2014-09-16 00:00:00,24419.0,24183.0,24428.0,24141.0,83443
2014-09-17 00:00:00,24175.0,24375.0,24485.0,24152.0,47851
2014-09-18 00:00:00,24378.0,24153.0,24419.0,24072.0,58077
2014-09-19 00:00:00,24161.0,24292.0,24418.0,24123.0,58466
2014-09-22 00:00:00,24300.0,23991.0,24308.0,23930.0,49897
2014-09-23 00:00:00,23998.0,23814.0,24012.0,23796.0,53918
2014-09-24 00:00:00,23793.0,23878.0,23992.0,23713.0,50258
2014-09-25 00:00:00,23870.0,23760.0,24047.0,23734.0,57182
2014-09-26 00:00:00,23767.0,23670.0,23780.0,23532.0,41101
2014-09-29 00:00:00,23670.0,23228.0,23709.0,23117.0,13302
2014-09-30 00:00:00,23200.0,22820.0,23219.0,22800.0,77533
2014-10-03 00:00:00,22821.0,22993.0,23100.0,22511.0,82921
2014-10-06 00:00:00,23001.0,23252.0,23395.0,22822.0,65144
2014-10-07 00:00:00,23250.0,23344.0,23461.0,23140.0,44522
2014-10-08 00:00:00,23335.0,23226.0,23353.0,23106.0,53601
2014-10-09 00:00:00,23215.0,23490.0,23527.0,23124.0,56017
2014-10-10 00:00:00,23481.0,23016.0,23498.0,22994.0,58356
2014-10-13 00:00:00,23011.0,23176.0,23262.0,22750.0,67743
2014-10-14 00:00:00,23180.0,22960.0,23405.0,22946.0,67645
2014-10-15 00:00:00,22958.0,23092.0,23227.0,22827.0,60163
2014-10-16 00:00:00,23085.0,22851.0,23117.0,22775.0,66773
2014-10-17 00:00:00,22848.0,23040.0,23137.0,22545.0,65998
2014-10-21 00:00:00,23016.0,23106.0,23223.0,22901.0,5579
2014-10-22 00:00:00,23107.0,23353.0,23460.0,23080.0,61402
2014-10-23 00:00:00,23345.0,23387.0,23431.0,23247.0,45571
2014-10-24 00:00:00,23380.0,23323.0,23456.0,23100.0,22244
2014-10-27 00:00:00,23339.0,23218.0,23402.0,22980.0,52915
2014-10-28 00:00:00,23198.0,23579.0,23603.0,23089.0,64073
2014-10-29 00:00:00,23558.0,23823.0,23889.0,23554.0,46632
2014-10-30 00:00:00,23811.0,23705.0,23905.0,23693.0,8052
2014-10-31 00:00:00,23686.0,23943.0,24080.0,23565.0,57704
2014-11-03 00:00:00,23964.0,23830.0,24087.0,23817.0,41225
2014-11-04 00:00:00,23829.0,23811.0,24032.0,23745.0,50930
2014-11-05 00:00:00,23823.0,23702.0,23888.0,23587.0,48047
2014-11-06 00:00:00,23714.0,23652.0,23797.0,23612.0,37571
2014-11-07 00:00:00,23655.0,23504.0,23848.0,23386.0,80893
2014-11-10 00:00:00,23509.0,23741.0,24199.0,23438.0,67629
2014-11-11 00:00:00,23745.0,23763.0,23937.0,23726.0,47656
2014-11-12 00:00:00,23770.0,23912.0,24015.0,23732.0,46369
2014-11-13 00:00:00,23887.0,23981.0,24095.0,23805.0,53437
2014-11-14 00:00:00,23981.0,24030.0,24087.0,23944.0,41869
2014-11-17 00:00:00,24036.0,23771.0,24343.0,23731.0,60858
2014-11-18 00:00:00,23766.0,23441.0,23869.0,23434.0,63559
