Date,latest_hidden_post_prob,occurence_latest_hidden_state,total_hist_next_day_observation_given_state,win_rate,cond_next_daily_ret_mean
2005-03-01,1.0,25,0.3292928317418786,0.7083333333333334,0.012060431475807076
2005-04-01,1.0,26,0.3467945905799903,0.72,0.012269347027649941
2005-05-01,0.5041836066821872,19,0.08128811582319262,0.6111111111111112,0.0031434343030565443
2005-06-01,1.0,22,0.1657504063371178,0.6666666666666666,0.007433778211649268
2005-07-01,1.0,23,0.20421945644108686,0.6818181818181818,0.008785150316547443
2005-08-01,1.0,24,0.19772703981631867,0.6521739130434783,0.00814846695627686
2005-09-01,1.0,25,0.2314039442230964,0.6666666666666666,0.009171966730443452
2005-10-01,1.0,25,0.19217516091518405,0.625,0.008798644004136852
2005-11-01,1.0,26,0.19806816925749704,0.64,0.008683574315799431
2005-12-01,1.0,27,0.17664082400142433,0.6153846153846154,0.007576243749715246
2006-01-01,0.997559100296763,24,0.17713939882541485,0.6086956521739131,0.005982285051910751
2006-02-01,1.0,29,0.21379654583527863,0.6071428571428571,0.008333063187911213
2006-03-01,1.0,30,0.24080197792684732,0.6206896551724138,0.008957575258299181
2006-04-01,0.9999999993870148,35,0.36081496007370717,0.6470588235294118,0.008091914113871373
2006-05-01,1.0,32,0.2504321999952772,0.6451612903225806,0.008701872908157859
2006-06-01,1.0,33,0.2583704786870573,0.65625,0.008678733689426064
2006-07-01,1.0,34,0.24333296445315789,0.6363636363636364,0.007981196991157152
2006-08-01,0.9999999806513531,36,0.22622376883201145,0.5714285714285714,0.006304731490311392
2006-09-01,1.0,35,0.27052142670268076,0.6176470588235294,0.010147829564496197
2006-10-01,1.0,36,0.25274186382674735,0.6285714285714286,0.007300548281360389
2006-11-01,1.0,38,0.28158967524047807,0.6486486486486487,0.008147826538117992
2006-12-01,0.9982973317135259,41,0.32313603270238733,0.625,0.007421807358356418
2007-01-01,1.0,40,0.32614134295942954,0.6666666666666666,0.008854226899730434
2007-02-01,1.0,41,0.34148090571140255,0.675,0.009007324631291905
2007-03-01,0.9999993372132743,38,0.28851396861836687,0.6486486486486487,0.00921972474030001
2007-04-01,0.8896657718043572,42,0.36389155168770504,0.6829268292682927,0.010536694344587802
2007-05-01,0.7905670514409308,26,0.11874200641234811,0.6,0.008562097729777174
2007-06-01,0.9999999999874731,41,0.31604422346300876,0.65,0.008987606980651512
2007-07-01,1.0,42,0.34915732258893506,0.6585365853658537,0.009549339964595572
2007-08-01,1.0,44,0.39036564973244037,0.6744186046511628,0.00894924548825343
2007-09-01,0.359507242830546,24,0.17486595494396884,0.6086956521739131,0.007522076417156822
2007-10-01,1.0,45,0.30772738302183456,0.6363636363636364,0.008164231392196318
2007-11-01,0.9985258651394016,46,0.3391374957174289,0.6444444444444445,0.009089928261307322
2007-12-01,0.9999156317405928,33,0.22518662343106577,0.65625,0.006519226232768216
2008-01-01,1.0,26,0.13552941511617878,0.6,0.006095603367568961
2008-02-01,0.9999999971106561,26,0.1419009792024637,0.6,0.005577055751864973
2008-03-03,1.0,22,0.06684689791732534,0.5714285714285714,0.003398825384963936
2008-04-01,1.0,10,-0.14321701398034659,0.7777777777777778,-0.01084910220606992
2008-05-01,1.0,11,-0.11446078478468102,0.7,-0.007321015998496168
2008-06-02,0.989010940413562,19,-0.028614566847611655,0.4444444444444444,0.0042522040944811546
2008-07-01,1.0,10,-0.061789193765273254,0.6666666666666666,-0.0056224485436248885
2008-08-01,1.0,9,-0.16038726165731632,0.75,-0.020619766659806683
2008-09-02,1.0,10,-0.17971819583970117,0.7777777777777778,-0.020498568370162056
2008-10-01,1.0,11,-0.16610833609803954,0.7,-0.0173969400971119
2008-11-03,1.0,12,-0.2617425333195449,0.7272727272727273,-0.023916832424596406
2008-12-01,0.999999867074786,5,0.05803530864353412,0.75,-0.0029475218637991566
2009-01-02,1.0,42,0.25590662926130037,0.6097560975609756,5.58874746186631e-05
2009-02-02,0.9999999999999574,5,-0.13971984270198057,0.5,-0.003959639702942955
2009-03-02,0.9999820638504409,4,-0.0027974435815218968,0.3333333333333333,-0.0006957990324476892
2009-04-01,1.0,23,-0.24051180548433848,0.45454545454545453,-0.017061967583937597
2009-05-01,0.9999999999999716,6,-0.3328420072816636,0.8,-0.02322965951841499
2009-06-01,1.0,23,-0.005926437161508424,0.4090909090909091,-0.006497192345884829
2009-07-01,0.9611795057043103,9,0.023824527916405103,0.625,-0.022012256586516475
2009-08-03,0.9998370523152945,11,-0.02238465105856502,0.5,-0.016875444733847507
2009-09-01,0.9990820687370785,18,-0.3545434000027452,0.6470588235294118,-0.0014900698289315032
2009-10-01,0.9967535413627973,17,-0.31666334740390667,0.6875,-0.005596271418809593
2009-11-02,1.0,21,-0.3407119293126595,0.6,-0.007974380628334223
2009-12-01,1.0,21,-0.16447345315540218,0.55,-0.0036333005853530177
2010-01-04,0.9999999999331521,22,-0.10312712760070042,0.5238095238095238,-0.0008901563100967473
2010-02-01,1.0,23,-0.08159942756149263,0.5,9.569232903024813e-05
2010-03-01,0.9967255819102795,21,-0.3010957961990197,0.6,-0.004663774781950666
2010-04-01,0.9874597171398308,23,-0.20521046344277138,0.5454545454545454,0.00043025974741490964
2010-05-03,0.8913642276407789,24,-0.1507984511490097,0.5217391304347826,0.0023273229004240423
2010-06-01,0.9999995457830303,34,0.2024654776858794,0.6363636363636364,0.00495733169491678
2010-07-01,0.9999993487786998,18,0.06412524959090149,0.6470588235294118,-0.015709476088135235
