Date,latest_hidden_post_prob,occurence_latest_hidden_state,total_hist_next_day_observation_given_state,win_rate,cond_next_daily_ret_mean
2010-03-01,1.0,15,0.2885178237889079,0.6428571428571429,0.007981014977115888
2010-04-01,0.9853077670806561,95,0.22567452251931197,0.5638297872340425,0.005971512233835072
2010-05-03,0.9765099449436153,86,-0.24605245072878557,0.47058823529411764,-0.0037051081032380266
2010-06-01,0.7447974632728191,87,0.36917232666375455,0.5930232558139535,0.008738933447126212
2010-07-01,0.9855223646195451,8,-0.27998894143994946,0.5714285714285714,-0.06023067835470787
2010-08-02,0.9994483771232427,9,-0.32130875100253675,0.625,-0.05958468835635166
2010-09-01,0.999907328228404,12,-0.2683608196872953,0.45454545454545453,-0.00601893920366853
2010-10-01,1.0,23,0.11151050631377135,0.5909090909090909,-0.003138533831590642
2010-11-01,1.0,24,0.17076795832833191,0.6086956521739131,-0.0005353646677128896
2010-12-01,0.8645944249865302,39,0.21826044885199014,0.631578947368421,-0.0052220322318486
2011-01-03,0.9897835237343713,29,0.31184278146800715,0.5714285714285714,-0.0001044445984601332
2011-02-01,1.0,27,0.27476920110829806,0.6538461538461539,0.00337572203302516
2011-03-01,0.9958621857574481,94,-0.12042682070048372,0.45161290322580644,0.002997086127764205
2011-04-01,1.0,29,0.30150259179498917,0.6428571428571429,0.004065101351377294
2011-05-02,0.9999690580085094,98,0.3443696845896067,0.5773195876288659,0.0058585389508427205
2011-06-01,1.0,31,0.3426622817526219,0.6666666666666666,0.00513057746533604
2011-07-01,0.9999311113567474,15,-0.10782263033236639,0.42857142857142855,-0.026520576979470564
2011-08-01,0.9979422393276981,24,0.34680356701607984,0.6521739130434783,0.01013904569491937
2011-09-01,1.0,33,0.4553508388680312,0.65625,0.008683395004832306
2011-10-03,1.0,37,0.05063192749248557,0.5833333333333334,-0.005705442831117601
2011-11-01,1.0,35,0.29769349372797116,0.6176470588235294,0.0036825892915565085
2011-12-01,0.9999048038810032,26,-0.4200894873738461,0.52,-0.011282864996397902
2012-01-03,1.0,37,0.42188166548327377,0.6388888888888888,0.00683997353513492
2012-02-01,0.6058928518799805,17,-0.4308233071470351,0.5625,-0.016550154410089387
2012-03-01,0.9158043188520687,16,-0.43932394670343733,0.6,-0.018265949230267284
2012-04-02,1.0,40,0.5208752463273347,0.6666666666666666,0.008801721858675463
2012-05-01,1.0,41,0.553064191361968,0.675,0.009371449574323072
2012-06-01,1.0,37,0.4712762336788554,0.6666666666666666,0.01486511426812851
2012-07-02,1.0,26,0.2882562652605207,0.64,-0.003615516524291067
2012-08-01,1.0,28,-0.06978907679554158,0.4074074074074074,-0.01465749052064573
2012-09-04,0.9999999997939995,29,-0.06263067729752869,0.39285714285714285,-0.013999406264981824
2012-10-01,1.0,34,0.4776440093888521,0.696969696969697,0.011017222284169782
2012-11-01,1.0,31,-0.013560758181738741,0.36666666666666664,-0.010785768304521777
2012-12-03,1.0,36,0.4936371381657567,0.6857142857142857,0.010819826275967101
2013-01-02,1.0,38,0.44596918264321683,0.6486486486486487,0.009518804289836199
2013-02-01,1.0,32,0.40409229943024183,0.6451612903225806,0.0018615142531542108
2013-03-01,0.7268962185397534,21,0.012106545927204948,0.5,0.0014468582675665137
2013-04-01,0.9999072354075584,36,0.036208320977058506,0.6285714285714286,-0.007992513613799525
2013-05-01,0.9999999999982947,37,0.06475883914009728,0.6388888888888888,-0.007610090675247498
2013-06-03,0.9999999994331574,38,0.07781514904893783,0.6486486486486487,-0.0068634678928686035
2013-07-01,0.638685009092734,93,0.6710800136841097,0.6413043478260869,0.009102573516639097
2013-08-01,0.9991057100426041,98,0.9723914754504577,0.6597938144329897,0.01285971662694066
2013-09-03,0.9937613797012184,41,0.15334421163387812,0.65,-0.004649476971575403
2013-10-01,0.9860437531746377,96,0.9651311378771306,0.6526315789473685,0.01333869128078101
2013-11-01,0.9972247332517863,97,0.9982578784141394,0.65625,0.013588263460545928
2013-12-02,0.8811855889876893,49,0.36713383810125144,0.6041666666666666,0.00427256378131474
2014-01-02,0.9880200436648371,97,1.002239489500699,0.65625,0.013605828030194179
2014-02-03,0.9978875641956008,40,0.5808479496884935,0.7435897435897436,0.013990864405070273
2014-03-03,1.0,58,0.6856262488957947,0.6842105263157895,0.01317860861087246
2014-04-01,0.9999999999865565,57,0.7439243995083125,0.6964285714285714,0.010905293429778983
2014-05-01,0.9402151892603366,57,0.3451157309131334,0.6071428571428571,0.0041193084523383034
2014-06-02,0.9999452230714636,99,0.9990179200298037,0.6530612244897959,0.012909557090404688
2014-07-01,0.9999999999861586,54,0.8209704189047153,0.6981132075471698,0.010962440651749943
2014-08-01,0.9586056269756328,63,0.497297592559927,0.6290322580645161,0.004047868537507281
2014-09-02,0.9996238106575093,46,0.4506672340708606,0.6222222222222222,0.002270574338667404
2014-10-01,0.9973711329368194,47,0.4899498805592577,0.6304347826086957,0.002754654114341337
2014-11-03,0.8455961620330237,24,0.17521723150966562,0.4782608695652174,0.007376693959771814
2014-12-01,0.9999999913893589,67,0.8326683037693821,0.6818181818181818,0.013606455282059652
2015-01-02,0.9999999999998295,60,0.8855764576149001,0.6949152542372882,0.01098296025538831
2015-02-02,0.9999999999993179,61,0.8878918413798038,0.7,0.010833695909683264
2015-03-02,0.9999999998671001,99,0.9927491074488612,0.6530612244897959,0.012898232194219742
2015-04-01,1.0,71,0.8808396572662076,0.6857142857142857,0.013515108625975927
2015-05-01,0.9999934156437772,98,1.104054310063706,0.6701030927835051,0.014157015222539246
