Date,latest_hidden_post_prob,occurence_latest_hidden_state,total_hist_next_day_observation_given_state,win_rate,cond_next_daily_ret_mean
2001-07-09,1.0,31,-0.06892710552832249,0.6,-0.002644417593836742
2001-07-16,0.9999999999999432,32,-0.10008539862269394,0.6129032258064516,-0.0035536419556150825
2001-07-23,1.0,33,-0.09702869444355144,0.59375,-0.003334092971605419
2001-07-30,0.9999999999997158,33,-0.14740987738078548,0.625,-0.003491041091826264
2001-08-06,1.0,35,-0.09530863184591265,0.5882352941176471,-0.0031130758414630024
2001-08-13,1.0,36,-0.09866833562986166,0.6,-0.0031060009466033975
2001-08-20,1.0,37,-0.1063530094507934,0.6111111111111112,-0.0032192316044191475
2001-08-27,1.0,38,-0.12318161532960392,0.6216216216216216,-0.0035797378750095817
2001-09-03,1.0,39,-0.11654510611550872,0.6052631578947368,-0.0033367248839898905
2001-09-10,1.0,40,-0.15600906826907845,0.6153846153846154,-0.004239640114988874
2001-09-17,1.0,41,-0.19288449949883812,0.625,-0.00502972210750889
2001-09-24,1.0,41,-0.28419104053560496,0.65,-0.006101975571850728
2001-10-01,1.0,42,-0.318784306340965,0.6585365853658537,-0.006766209737442435
2001-10-08,1.0,44,-0.24356423906399538,0.627906976744186,-0.00584690650954933
2001-10-15,1.0,45,-0.22082170168401394,0.6136363636363636,-0.005208522736033376
2001-10-22,1.0,46,-0.19523046668524024,0.6,-0.004540500513911982
2001-10-29,1.0,47,-0.195303824851643,0.6086956521739131,-0.004449235936565828
2001-11-05,1.0,48,-0.20600402343735258,0.6170212765957447,-0.0045852022607925464
2001-11-12,1.0,49,-0.18350115579552462,0.6041666666666666,-0.004016342063133444
2001-11-19,1.0,50,-0.1695533340043589,0.5918367346938775,-0.003659952964677379
2001-11-26,1.0,51,-0.14070648756310167,0.58,-0.0029981138020588223
2001-12-03,1.0,52,-0.13519636765066068,0.5686274509803921,-0.0028223187388445267
2001-12-10,1.0,52,-0.2000992262283816,0.5882352941176471,-0.003191167762494336
2001-12-17,1.0,53,-0.19126147631857382,0.5769230769230769,-0.002951843120662307
2001-12-24,1.0,54,-0.1961597786824214,0.5849056603773585,-0.0029880596743964544
2001-12-31,1.0,55,-0.18712944631353956,0.5740740740740741,-0.002756130689283764
2002-01-07,1.0,56,-0.18413743714657915,0.5636363636363636,-0.002653590336613105
2002-01-14,1.0,57,-0.1696017058666106,0.5535714285714286,-0.0023461111396189515
2002-01-21,1.0,58,-0.19259579882251288,0.5614035087719298,-0.0026901164613419982
2002-01-28,1.0,59,-0.2021546764094575,0.5689655172413793,-0.0028093514044347906
2002-02-04,1.0,60,-0.19730639123518579,0.559322033898305,-0.002720874657287769
2002-02-11,1.0,62,-0.19114703276816325,0.5573770491803278,-0.0032513638532682423
2002-02-18,1.0,63,-0.17528361130742276,0.5483870967741935,-0.0029520179483539456
2002-02-25,1.0,63,-0.22312535375417308,0.5645161290322581,-0.002986734755559168
2002-03-04,1.0,64,-0.21838196211110983,0.5555555555555556,-0.0028430047872026517
2002-03-11,1.0,65,-0.17913289987596848,0.546875,-0.002203062956417042
2002-03-18,1.0,66,-0.1667129097690765,0.5384615384615384,-0.0019765953274921704
2002-03-25,0.9979497039728344,46,-0.023669109563628332,0.5111111111111111,0.0003981285427031042
2002-04-01,0.6915545903561429,54,-0.17495204773377182,0.5660377358490566,-0.003455180832725468
2002-04-08,0.9999595227783377,46,-0.014065396124926188,0.4888888888888889,0.0002017398937104221
2002-04-15,0.9548082024139611,29,-0.057183443533883604,0.5,-0.00020379570456488056
2002-04-22,0.9999999958266699,69,-0.3384736644032982,0.5735294117647058,-0.003423864255044902
2002-04-29,0.985606907344038,41,-0.08703946339443736,0.525,7.002834503397735e-06
2002-05-06,0.9570589136346497,42,-0.17160693621088985,0.5609756097560976,-0.0010977583719521903
2002-05-13,0.9535768511104314,41,-0.10363557328802298,0.55,-0.0015171049962706662
2002-05-20,0.994694795626783,41,-0.07663950569236011,0.525,3.090446209629076e-05
2002-05-27,0.9975897959692166,41,-0.06536824193990043,0.525,0.00047057627795225496
2002-06-03,0.9853747753096701,41,-0.0548259189485778,0.525,0.00024021439010181732
2002-06-10,0.9999999937840016,68,-0.3905100711380749,0.5970149253731343,-0.004120434173402087
2002-06-17,0.9351218819709217,41,-0.10741024336637839,0.55,-0.00032970913994624044
2002-06-24,0.9999785200790519,68,-0.33955553022566676,0.582089552238806,-0.004158679465763814
2002-07-01,0.9961562875114537,38,-0.19982316214521312,0.5945945945945946,-0.007149278200900775
2002-07-08,0.999110702904214,37,-0.18887050104264524,0.5833333333333334,-0.008047772241525617
2002-07-15,0.999280069188478,37,-0.19766584402741216,0.5833333333333334,-0.007740228543086941
2002-07-22,0.9999994969773653,38,-0.260010878035013,0.5945945945945946,-0.008953158698258464
2002-07-29,0.9999986586584456,22,-0.11271867588031004,0.5714285714285714,-0.01190858658575688
2002-08-05,0.9999999383717314,13,0.08727352500307717,0.6666666666666666,-0.002686337793325003
2002-08-12,0.99999939451301,24,-0.09488750389275502,0.5652173913043478,-0.010181905752827762
2002-08-19,0.9999999978333562,25,-0.0152319593360275,0.5416666666666666,-0.00680179508753335
2002-08-26,0.9999997414070428,16,0.14323352912834064,0.6666666666666666,0.0015207580379960788
2002-09-02,0.99999867244523,27,0.032461728303279536,0.46153846153846156,-0.004787401543002485
2002-09-09,0.9999875389265102,18,0.10612774986783435,0.5882352941176471,-0.0002575210060291288
2002-09-16,0.9999998213193226,22,0.019713586911827008,0.47619047619047616,-0.003849712764744129
2002-09-23,0.9999999990462811,21,0.02802363204784797,0.5,-0.002469822890584338
2002-09-30,0.9999999999995453,22,-0.03855935513881015,0.5238095238095238,-0.005611233195338082
2002-10-07,0.999999999964416,19,-0.015731727077211488,0.5555555555555556,-0.0032839186126217574
2002-10-14,1.0,27,-0.11851744190955404,0.5769230769230769,-0.007741507274227335
2002-10-21,1.0,28,-0.04944310861028978,0.5555555555555556,-0.005258018616146646
2002-10-28,0.9999999999993747,29,0.017525749938832824,0.4642857142857143,-0.0028601320370620605
2002-11-04,0.9999982615064247,23,0.0722164588653067,0.45454545454545453,0.0008062526788198547
2002-11-11,0.9999998861438322,24,0.09236636448663926,0.4782608695652174,0.0015902337720182134
